year,island,population,survival,depth_mean
2017,Floreana,CD,all,4.878125
2017,Floreana,CD,survived,4.74
2017,Floreana,CM,all,5.489466666666667
2017,Floreana,CM,survived,5.461875
2017,Floreana,PN,all,5.603780487804878
2017,Floreana,PN,survived,5.851923076923077
2017,Floreana,POB,all,4.169120879120879
2017,Floreana,POB,survived,4.195897435897436
2017,Floreana,WC,all,5.381428571428572
2017,Floreana,WC,survived,5.595625
2017,Isabela,AP,all,5.043625
2017,Isabela,AP,survived,5.127608695652174
2017,Isabela,ECR,all,4.315058823529411
2017,Isabela,ECR,survived,4.30531914893617
2017,Isabela,RSA,all,4.511030927835051
2017,Isabela,RSA,survived,4.523103448275862
2017,Isabela,RTP,all,4.739285714285715
2017,Isabela,RTP,survived,4.827846153846154
2017,Isabela,RVS,all,4.889285714285714
2017,Isabela,RVS,survived,4.929090909090909
2017,Isabela,TP,all,4.78247311827957
2017,Isabela,TP,survived,4.715492957746479
2017,San.Cristobal,LB2,all,4.954545454545454
2017,San.Cristobal,LB2,survived,4.966046511627907
2017,San.Cristobal,USFQ,all,4.714270833333333
2017,San.Cristobal,USFQ,survived,4.6944776119402984
2017,Santa.Cruz,AB,all,4.875774647887324
2017,Santa.Cruz,AB,survived,4.982941176470589
2017,Santa.Cruz,DP,all,5.01765306122449
2017,Santa.Cruz,DP,survived,5.063170731707317
2017,Santa.Cruz,EG,all,4.999770114942529
2017,Santa.Cruz,EG,survived,5.112727272727272
2017,Santa.Cruz,EG2,all,4.7844444444444445
2017,Santa.Cruz,EG2,survived,4.762941176470588
2017,Santa.Cruz,ITC2,all,4.605714285714286
2017,Santa.Cruz,ITC2,survived,4.624597701149425
2017,Santa.Cruz,MGN,all,4.647090909090909
2017,Santa.Cruz,MGN,survived,4.751379310344827
2017,Santa.Cruz,TB,all,5.015
2017,Santa.Cruz,TB,survived,5.06046511627907
2018,Floreana,CC,all,6.2808
2018,Floreana,CC,survived,6.2808
2018,Floreana,CD,all,6.376734693877551
2018,Floreana,CD,survived,6.385416666666667
2018,Floreana,CM,all,5.7812
2018,Floreana,CM,survived,5.7812
2018,Floreana,PN,all,5.402391304347826
2018,Floreana,PN,survived,5.3997142857142855
2018,Floreana,WC,all,5.814146341463415
2018,Floreana,WC,survived,5.808648648648648
2018,Floreana,WC2,all,5.102828282828283
2018,Floreana,WC2,survived,5.09752688172043
2018,Isabela,AP,all,5.473483146067416
2018,Isabela,AP,survived,5.599516129032258
2018,Isabela,ECR,all,4.2878823529411765
2018,Isabela,ECR,survived,4.378863636363636
2018,Isabela,RSA,all,4.316969696969697
2018,Isabela,RSA,survived,4.337159090909091
2018,Isabela,RTP,all,4.466105263157894
2018,Isabela,RTP,survived,4.638965517241379
2018,Isabela,RVS,all,5.001775700934579
2018,Isabela,RVS,survived,5.059787234042553
2018,Isabela,TP,all,4.246842105263158
2018,Isabela,TP,survived,4.329245283018868
2018,San.Cristobal,LB2,all,4.779428571428571
2018,San.Cristobal,LB2,survived,4.7384
2018,San.Cristobal,ORO,all,4.6888
2018,San.Cristobal,ORO,survived,4.6888
2018,San.Cristobal,PK,all,4.125274725274726
2018,San.Cristobal,PK,survived,4.079277108433735
2018,San.Cristobal,USFQ,all,4.909545454545454
2018,San.Cristobal,USFQ,survived,5.076481481481482
2018,Santa.Cruz,AB,all,4.502253521126761
2018,Santa.Cruz,AB,survived,4.66125
2018,Santa.Cruz,DP,all,4.7802105263157895
2018,Santa.Cruz,DP,survived,4.658529411764706
2018,Santa.Cruz,EG,all,4.880967741935484
2018,Santa.Cruz,EG,survived,5.127857142857143
2018,Santa.Cruz,EG2,all,4.718051948051948
2018,Santa.Cruz,EG2,survived,4.819411764705882
2018,Santa.Cruz,ITC,all,4.711
2018,Santa.Cruz,ITC,survived,4.719591836734694
2018,Santa.Cruz,ITC2,all,4.627604166666667
2018,Santa.Cruz,ITC2,survived,4.706753246753247
2018,Santa.Cruz,MGN,all,4.6801
